review,rating,category
"Sempet kecewa dg packagingnya.. dus cuman dilapisi bubblewarp.. jadi penyok seperti di gambar.. tp alhamdulillah barang dlm kondisi baik dan dpt berfungsi dg baik..

saran buat seller.. lain kali klo packaging mohon diperhatikan dg betul.. krn kondisi barang dan kepuasan pembeli hrs diutamakan..

semoga ke depannya bisa barokah dan semakin mengutamakan pelayanan kpd pembeli..",4,laptop
"Alhamdulillah, barang sampai dan sesuai dengan pesanan, respon seller dan pengiriman 👍👍👍👍, puas belanja di sini, recommended seller, tks",5,laptop
"barangnya ga sesuai dan ga muat  di hp sy,tp kalo pengiriman bagus dan kurirnya juga ramah makasih lazada",3,tablet
"Barang diterima kondisi sangat baik, packing rapi dan bonus lengkap semua. Kelengkapan HP sesuai. Pengiriman sesuai perkiraan. Recommended.",5,handphone
alhamdulilah nyampe paketnya pas dicoba dipake ternyata kebaca .. seneng bgt . terimakasih lazada terimakasih ninjavanid. semoga awet deh 😁 😅,4,laptop
Gk sesuai dengan harapan,1,laptop
barang bagus. sesuai.  respon cepat.  siip,5,tablet
sesuai dg pesanan 👌,5,tablet
tas buat anak anak SD pantesnya,1,laptop
lumayan sih tpi nge cas nya agk lambat,3,tablet
"Pakingnya kurang aman...
Bublenya kurang...",3,handphone
Meskipun foto itu ada efek lighting nya tapi gak sampe yg parah bgt bedanya. Dan kenapa harganya turun setelah saya order,3,laptop
Keren bgt langsung aku pasang,4,tablet
lumayan.. agak tipis,3,laptop
saya beri 3 bintang karna saya kurang puas. Uda jelas TAS RANSEL POLO gratis ny 2. tp yg saya terima cuma 2.,3,laptop
sip barang ny sesuai pesanan,1,handphone
barangnya sudah sampai,1,tablet
trimakasih lazada barang udah sampai dan memang barang anti air tanpa rembes,3,tablet
kecewa casing nya g sesuai ga pas ma hp nya,3,tablet
"Gasukaaaaaaaa;( kesel banget sihh.. ini saya niatnya couple tas gitu sama Ade, ehh tasnya kek gini.. beda model lagi ampun daahh baru kali ini belanja di lazada kecewa kek gini.. ini modelnya knpa bisa beda kek gini sih kan saya pas beli modelnya sama .. Dateng ko beda banget ampunnnn.. lain kali yang amanah dong , klo barangnya kagak ada bilang ke elahh",2,laptop
"ma'af tlat ksih ulasan, tas nya bgus👍, mksih lazada.",5,laptop
yang pertama bgus semua normal barang yg Dateng barusan hedset nya mati sebelah .....,3,laptop
nokomen pokonya puas gua,1,laptop
"Apa mngkn krna harga diskon y jd bhnnya jelek, suami sy gag mau pake.
Slingbagnya juga gag dpt.",2,laptop
tasnya yg utama gk sebagus digambar tolong diperbaiki nilai + nya tapi fast respon dalam pengiriman,3,laptop
"batrenya kok cepet habis ya padahal belum di pake sama sekali, pas barang datang langsung di cas selama 8 jam tapi Batre tetap boros,",3,handphone
pertahankan proiduknya,4,handphone
Faktur dan kartu garansi tidak ada,4,handphone
"kenapa punya sayah gg sesuay gambar... 
parah...",2,handphone
"Pesanan diterima sesuai estimasi waktu, tetapi sedikit kecewa, pesan warna abu-abu (grey) dikirim yang warna biru ( ocean blue ). 

Next, agar seller lebih teliti dlm membaca pesanan pembeli.",4,tablet
Seneng banget. Realpict. Terima kasih. Tidak mengecewakan.,4,tablet
Bagus kuat simple puas pokok e..,5,laptop
alhmdllh hp dah sampe bagus cuman cas san nya gak berpungsi,3,handphone
batang gak sesuai keyboat macet batrerai gak bisa di carger,1,laptop
good barangnya original cuci deh gak nyesel beli di sini Alhamdulillah,5,handphone
